state_name,district_n,Index,ft,ffid,x,y,MET_data,AV_CCCMA,AV_CNRM,AV_CSIRO,AV_IPSL,AV_MPI_MR,AV_NOAA,AV_REMO2009,Met_observed data_1976_2005,,,,
MADHYA PRADESH,WEST NIMAR,580,TRUE,463,75.69674275,21.92232898,,25.27,23.98,27.7,25.28,24.58,24.05,22.92,26.92,,,,
ORISSA,ANUGUL,26,TRUE,269,84.99685816,20.96811475,,24.53,22.58,26.09,24.45,23.49,23.06,24.17,24.99,,,,
ORISSA,BALANGIR,40,TRUE,260,83.1694321,20.57788315,,24.58,22.63,26.56,24.58,23.58,23.2,24.25,25.97,,,,
ORISSA,BALESHWAR,41,TRUE,254,86.91946265,21.47256048,,25.02,23.21,26.59,24.97,24.1,23.55,25.5,27.07,,,,
ORISSA,BARGARH,57,TRUE,259,83.35027114,21.22509654,,24.65,22.7,26.83,24.7,23.69,23.26,24.25,26.18,,,,
ORISSA,BHADRAK,71,TRUE,253,86.71007008,20.95859691,,25.58,23.91,26.93,25.5,24.63,24.23,25.67,27.43,,,,
ORISSA,CUTTACK,128,TRUE,277,85.9829068,20.55884746,,25.09,23.24,26.67,25.02,24.14,23.64,25,26.57,,,,
ORISSA,DEOGARH,145,TRUE,268,84.8540905,21.4535248,,24.32,22.35,26.02,24.29,23.29,22.83,24.25,26.06,,,,
ORISSA,DHENKANAL,157,TRUE,271,85.50130389,20.6540259,,25.09,23.24,26.67,25.02,24.14,23.64,25,26.24,,,,
ORISSA,GAJAPATI,187,TRUE,262,84.15928788,19.15972439,,24.61,22.86,25.68,24.64,23.59,23.33,23.08,26.38,,,,
ORISSA,GANJAM,191,TRUE,250,84.78746559,19.54043815,,25.02,23.25,26.41,25.02,24.07,23.72,25.25,25.22,,,,
ORISSA,JAGATSINGHAPUR,245,TRUE,276,86.34458487,20.19716939,,25.97,24.46,27.14,25.9,25.11,24.81,25.5,26.74,,,,
ORISSA,JAJAPUR,248,TRUE,252,86.18658866,20.85390062,,25.39,23.6,26.93,25.33,24.48,23.96,25.42,27.23,,,,
ORISSA,JHARSUGUDA,266,TRUE,266,83.91182394,21.78664934,,24.19,22.28,26.4,24.28,23.27,22.79,23.67,26.48,,,,
ORISSA,KALAHANDI,278,TRUE,263,83.08377151,19.90211622,,23.91,22.03,25.3,23.92,22.87,22.56,23.17,25.37,,,,
ORISSA,KANDHAMAL,282,TRUE,270,84.13073435,20.14958017,,24.28,22.33,25.64,24.2,23.21,22.83,22.58,24.87,,,,
ORISSA,KENDRAPARHA,303,TRUE,274,86.56349528,20.53981177,,25.58,23.91,26.93,25.5,24.63,24.23,25.67,27.3,,,,
ORISSA,KENDUJHAR,304,TRUE,272,85.77732137,21.49159617,,24.33,22.4,25.93,24.27,23.32,22.81,24,26.35,,,,
ORISSA,KHORDHA,309,TRUE,251,85.51082173,20.20668723,,25.68,23.94,27.08,25.61,24.79,24.35,25.33,26.5,,,,
ORISSA,KORAPUT,321,TRUE,256,82.65546853,18.88370691,,24.29,22.63,25.57,24.43,23.41,23.17,20.92,25.49,,,,
ORISSA,MALKANGIRI,355,TRUE,255,82.0653622,18.25552921,,24.15,22.54,25.1,24.27,23.29,23.06,22.5,27.04,,,,
ORISSA,MAYURBHANJ,367,TRUE,273,86.43976331,21.88182778,,23.78,21.82,25.25,23.74,22.73,22.19,23.17,25.81,,,,
ORISSA,NABARANGAPUR,386,TRUE,257,82.35089752,19.54995599,,24.04,22.22,25.7,24.1,23.1,22.85,22.33,25.88,,,,
ORISSA,NAYAGARH,408,TRUE,275,85.04064024,20.29234783,,25.19,23.38,26.61,25.13,24.24,23.82,25,25.4,,,,
ORISSA,NUAPARHA,417,TRUE,258,82.59836146,20.5683653,,24.54,22.61,26.54,24.59,23.55,23.21,23.58,25.46,,,,
ORISSA,PURI,443,TRUE,278,85.84013914,20.00681251,,25.68,23.94,27.08,25.61,24.79,24.35,25.33,23.23,,,,
ORISSA,RAYAGADA,462,TRUE,261,83.55014586,19.38815264,,24.25,22.46,25.35,24.28,23.21,22.94,23.83,24.67,,,,
ORISSA,SAMBALPUR,480,TRUE,265,84.37819829,21.39641773,,24.31,22.35,26.15,24.3,23.3,22.85,24.17,26.33,,,,
ORISSA,SONAPUR,514,TRUE,264,83.83568118,20.9776326,,24.42,22.45,26.23,24.38,23.39,22.99,24.33,26.12,,,,
ORISSA,SUNDARGARH,522,TRUE,267,84.62566224,22.20543447,,23.24,21.31,25.16,23.32,22.25,21.72,23.67,26.15,,,,
RAJASTHAN,AJMER,7,TRUE,143,74.69803875,26.37770686,,23.76,22.25,26.75,24.68,23.08,21.97,22.83,25.41,,,,
RAJASTHAN,ALWAR,16,TRUE,149,76.55687368,27.65309796,,23.72,22.01,26.48,24.87,22.64,21.62,23.67,24.96,,,,
RAJASTHAN,BANSWARA,50,TRUE,171,74.42487662,23.40813952,,25.07,23.88,27.99,25.51,24.8,23.89,23.17,26.82,,,,
RAJASTHAN,BARAN,54,TRUE,155,76.62349859,24.95003026,,23.85,22.31,26.97,24.63,23.03,22.13,22.92,26.14,,,,
RAJASTHAN,BARMER,58,TRUE,166,71.28398809,25.65435071,,24.77,23.44,27.03,25.63,24.43,23.17,24.17,26.24,,,,
RAJASTHAN,BHARATPUR,74,TRUE,175,77.27642269,27.23431282,,24.02,22.34,26.88,25.17,22.95,21.99,24.17,25.51,,,,
RAJASTHAN,BHILWARA,77,TRUE,144,74.82177072,25.27363695,,23.65,22.19,26.78,24.54,23.06,22.05,22.58,24.99,,,,
RAJASTHAN,BIKANER,87,TRUE,158,73.34936025,27.91007975,,23.83,22.2,26.49,24.8,23.14,21.73,23.67,26.07,,,,
RAJASTHAN,BUNDI,98,TRUE,154,75.59557144,25.22604773,,24.03,22.52,27.14,24.9,23.28,22.32,23.08,25.81,,,,
RAJASTHAN,CHITTAURGARH,120,TRUE,145,74.6885209,24.79774475,,23.87,22.49,27,24.7,23.34,22.37,22.25,25.52,,,,
RAJASTHAN,CHURU,124,TRUE,162,74.90647953,28.3098292,,23.58,21.84,26.07,24.41,22.7,21.39,23.58,25.78,,,,
RAJASTHAN,DAUSA,141,TRUE,151,76.32844543,26.84408122,,23.91,22.31,26.86,24.94,23.02,22.02,23.42,25.84,,,,
RAJASTHAN,DHAULPUR,155,TRUE,174,77.88556471,26.72034924,,24.3,22.6,27.24,25.4,23.24,22.3,23.92,25.79,,,,
RAJASTHAN,DUNGARPUR,168,TRUE,147,73.68914728,23.78885329,,24.85,23.64,27.7,25.42,24.59,23.57,23.42,27.08,,,,
RAJASTHAN,GANGANAGAR,189,TRUE,160,73.77385609,29.89930915,,24.07,22.22,26.61,24.98,23.05,21.59,24.08,25.76,,,,
RAJASTHAN,HANUMANGARH,223,TRUE,161,74.38299811,29.55666676,,23.8,22,26.48,24.83,22.79,21.36,23.67,25.63,,,,
RAJASTHAN,JAIPUR,246,TRUE,148,75.73548374,26.8631169,,23.87,22.32,26.86,24.88,23.06,22.01,23.33,25.36,,,,
RAJASTHAN,JAISALMER,247,TRUE,165,69.8730389,27.03036183,,24.94,23.32,27.17,25.71,24.27,22.92,25.5,26.01,,,,
RAJASTHAN,JALOR,252,TRUE,167,72.07396915,25.03569085,,24.69,23.39,27.14,25.49,24.44,23.19,24.33,26.67,,,,
RAJASTHAN,JHALAWAR,264,TRUE,156,76.22374914,24.4836559,,24.01,22.56,27.11,24.68,23.24,22.4,22.58,25.67,,,,
RAJASTHAN,JHUNJHUNUN,267,TRUE,163,75.37285389,27.91007975,,23.49,21.78,26.01,24.31,22.57,21.35,22.83,24.92,,,,
RAJASTHAN,JODHPUR,269,TRUE,164,73.08286062,26.24445704,,24.4,22.99,27.23,25.35,23.92,22.69,23.83,26.25,,,,
